pname,year,epa,wpa,asst,ff,g,int,pd,qbhit,rank,sc,sk,skyd,tf,team,tkl,tklloss,probowl,firstteam,secondteam
D.Brooks,1999,83.1,2.89,34,2,16,4,18,1,0,116,2,22,1.54,TB,119,14,1.0,1.0,0.0
D.Edwards,1999,81.5,2.47,25,1,16,5,8,3,1,77,3,18,1.41,KC,98,8,0.0,0.0,0.0
R.Lewis,1999,70.5,2.46,35,0,16,3,8,4,2,105,4,21,1.75,BLT,130,19,1.0,1.0,0.0
G.Cadrez,1999,55.9,2.28,21,3,16,0,7,6,3,60,7,26,0.88,DEN,61,7,0.0,0.0,0.0
L.Kirkland,1999,68.5,2.26,22,4,16,1,7,2,4,74,2,12,1.23,PIT,89,12,0.0,0.0,0.0
B.Minter,1999,57.0,2.01,25,3,16,2,6,3,5,62,3,22,1.2,CHI,96,8,0.0,0.0,0.0
Z.Thomas,1999,52.3,1.88,49,1,16,1,9,1,6,80,1,10,1.5,MIA,85,13,1.0,1.0,0.0
C.Bennett,1999,55.4,1.88,33,5,15,0,5,3,7,64,5,31,1.09,IND,72,10,0.0,0.0,0.0
M.Lewis,1999,51.6,1.86,30,4,16,0,7,4,8,70,6,33,0.86,NYJ,59,9,1.0,0.0,0.0
G.Biekert,1999,55.4,1.86,32,1,16,2,7,2,9,83,2,11,1.45,OAK,104,9,0.0,0.0,0.0
R.Fredrickson,1999,57.3,1.84,30,5,16,2,4,1,10,77,2,6,1.06,ARZ,95,7,0.0,0.0,0.0
J.Armstead,1999,59.9,1.71,26,2,16,2,3,8,11,80,9,40,1.19,NYG,97,21,1.0,0.0,1.0
S.Barber,1999,52.8,1.65,19,3,15,2,8,1,12,63,1,7,1.19,WAS,80,3,0.0,0.0,0.0
T.Bruschi,1999,43.9,1.61,35,1,14,1,8,2,13,83,2,8,1.1,NE,73,9,0.0,0.0,0.0
D.Rudd,1999,50.5,1.61,28,3,16,0,8,2,14,68,3,25,1.12,MIN,89,11,0.0,0.0,0.0
H.Nickerson,1999,47.3,1.59,44,3,16,2,5,0,15,64,1,1,1.11,TB,66,6,1.0,0.0,1.0
J.Seau,1999,47.8,1.56,24,1,14,1,9,3,16,68,4,32,1.2,SD,74,13,1.0,0.0,1.0
E.McDaniel,1999,51.4,1.52,34,0,16,0,3,2,17,72,2,6,1.16,MIN,87,10,0.0,0.0,0.0
K.Hardy,1999,49.0,1.51,22,2,16,0,1,10,18,64,11,66,1.13,JAX,74,13,1.0,1.0,0.0
J.Trotter,1999,51.2,1.49,30,3,16,2,7,3,19,70,3,14,1.17,PHI,92,6,0.0,0.0,0.0
A.Katzenmoyer,1999,44.5,1.48,14,1,16,1,1,4,20,61,4,14,0.69,NE,63,15,0.0,0.0,0.0
M.Patton,1999,46.9,1.44,19,1,16,1,4,7,21,58,8,39,1.2,KC,86,16,0.0,0.0,0.0
D.Coakley,1999,45.5,1.42,13,1,16,4,6,1,22,50,1,4,0.85,DAL,63,6,1.0,0.0,0.0
D.Thomas,1999,46.4,1.39,8,3,16,1,5,4,23,46,7,65,0.67,KC,51,10,0.0,0.0,0.0
S.Boyd,1999,55.1,1.38,40,1,14,1,5,0,24,80,0,0,1.43,DET,86,8,1.0,0.0,0.0
M.Peterson,1999,33.4,1.38,21,0,15,0,1,3,25,48,3,23,0.95,IND,71,6,0.0,0.0,0.0
B.Romanowski,1999,38.4,1.36,16,1,15,3,7,0,26,39,0,0,0.84,DEN,57,4,0.0,0.0,0.0
C.Claiborne,1999,45.5,1.32,16,1,15,0,1,1,27,45,2,15,0.7,DET,50,10,0.0,0.0,0.0
B.Wortham,1999,37.6,1.26,14,1,16,0,1,1,28,46,1,0,0.67,TEN,46,6,0.0,0.0,0.0
T.Spikes,1999,58.3,1.25,23,3,16,2,6,2,29,60,3,14,1.12,CIN,83,11,0.0,0.0,0.0
S.Rogers,1999,40.4,1.25,17,0,16,1,2,4,30,56,4,14,0.76,BUF,52,8,0.0,0.0,0.0
W.Rainer,1999,34.1,1.24,30,1,16,0,7,1,31,73,1,11,1.23,CLV,107,9,0.0,0.0,0.0
R.Godfrey,1999,37.2,1.22,15,1,16,1,3,0,32,66,1,16,1.08,DAL,81,6,0.0,0.0,0.0
M.Fields,1999,33.6,1.19,17,2,14,2,5,4,33,46,4,20,0.95,NO,63,7,0.0,0.0,0.0
C.Brown,1999,41.1,1.18,29,2,15,0,6,6,34,60,6,29,1.16,SEA,87,10,1.0,0.0,0.0
J.Bowden,1999,38.6,1.17,14,2,15,1,1,3,35,32,4,20,0.62,TEN,38,6,0.0,0.0,0.0
C.Emmons,1999,43.0,1.17,16,1,15,1,2,6,36,43,6,26,0.79,PIT,51,10,0.0,0.0,0.0
W.Thomas,1999,41.5,1.16,22,3,14,0,5,3,37,54,3,4,0.89,PHI,59,7,0.0,0.0,0.0
K.Mitchell,1999,51.4,1.16,17,4,11,3,11,2,38,46,3,14,1.05,NO,53,6,0.0,0.0,0.0
J.Miller,1999,37.2,1.14,24,0,14,0,2,5,39,67,5,24,1.14,CLV,87,8,0.0,0.0,0.0
R.Phifer,1999,38.9,1.13,13,3,15,2,5,4,40,32,5,34,0.5,NYJ,35,4,0.0,0.0,0.0
E.Robinson,1999,39.1,1.09,16,3,15,0,4,6,41,46,7,35,0.93,TEN,62,6,0.0,0.0,0.0
E.Holmes,1999,42.5,1.09,26,0,16,0,3,0,42,76,0,0,1.26,PIT,88,10,0.0,0.0,0.0
B.Williams,1999,31.1,1.07,22,0,7,2,2,2,43,42,2,6,1.53,GB,48,4,0.0,0.0,0.0
S.Harris,1999,33.1,1.07,15,2,14,1,5,0,44,42,0,0,0.81,CHI,56,5,0.0,0.0,0.0
K.Greene,1999,37.7,1.06,9,0,14,0,1,10,45,29,10,68,0.53,CAR,31,16,0.0,0.0,0.0
P.Boulware,1999,28.7,1.04,6,3,14,0,2,8,46,28,9,56,0.45,BLT,31,9,1.0,0.0,1.0
D.Smith,1999,42.1,1.03,27,0,15,1,4,2,47,64,2,7,1.09,WAS,64,10,0.0,0.0,0.0
D.Smith,1999,28.3,0.66,22,0,14,1,4,1,75,54,1,2,0.89,SEA,61,3,0.0,0.0,0.0
R.McKinnon,1999,38.9,1.02,45,3,16,1,4,0,48,82,1,10,1.21,ARZ,97,4,0.0,0.0,0.0
S.Cowart,1999,31.3,1.01,45,1,16,0,2,1,49,68,1,4,1.37,BUF,79,6,0.0,0.0,0.0
G.Northern,1999,31.9,1.0,7,2,14,0,2,3,50,24,4,16,0.43,BUF,27,3,0.0,0.0,0.0
J.Holecek,1999,35.8,0.97,19,2,14,1,6,0,51,48,1,7,0.79,BUF,44,3,0.0,0.0,0.0
A.Wilson,1999,32.7,0.96,15,2,16,0,4,1,52,59,1,1,0.8,DEN,59,10,0.0,0.0,0.0
M.Jones,1999,55.2,0.95,15,2,16,4,11,1,53,52,1,9,0.78,SL,53,3,0.0,0.0,0.0
M.Jones,1999,31.2,0.77,23,1,16,1,4,1,66,61,1,5,0.89,NYJ,69,4,0.0,0.0,0.0
C.Slade,1999,37.5,0.91,43,0,16,1,4,5,54,66,5,23,0.84,NE,51,8,0.0,0.0,0.0
A.Aldridge,1999,32.7,0.9,21,0,15,0,5,3,55,50,3,21,0.69,DET,44,9,0.0,0.0,0.0
L.Woodall,1999,28.2,0.89,14,1,16,0,5,3,56,39,3,13,0.76,SF,54,6,0.0,0.0,0.0
B.Harris,1999,30.9,0.88,37,2,15,0,7,0,57,67,0,0,1.1,GB,71,0,0.0,0.0,0.0
A.Simmons,1999,27.1,0.84,33,0,16,0,3,0,58,54,0,0,0.84,SEA,57,3,0.0,0.0,0.0
M.Barber,1999,22.7,0.83,28,1,16,0,4,0,59,43,0,0,0.84,IND,59,1,0.0,0.0,0.0
R.McDonald,1999,27.9,0.82,14,1,16,0,1,0,60,35,1,5,0.62,CHI,48,3,0.0,0.0,0.0
D.Wells,1999,22.7,0.82,24,2,14,1,4,0,61,33,1,4,0.94,CAR,47,1,0.0,0.0,0.0
M.Barrow,1999,40.5,0.81,22,1,14,0,3,3,62,60,3,7,1.25,CAR,73,11,0.0,0.0,0.0
B.Simmons,1999,40.0,0.78,20,0,16,0,5,3,63,67,3,20,1.15,CIN,89,17,0.0,0.0,0.0
L.Marts,1999,30.0,0.78,8,2,15,1,1,2,64,46,2,10,0.88,JAX,62,7,0.0,0.0,0.0
R.Phillips,1999,28.1,0.77,23,0,16,1,3,0,65,45,0,0,0.72,NYG,51,4,0.0,0.0,0.0
B.Cox,1999,22.4,0.75,13,2,11,1,3,0,67,31,0,0,0.62,NYJ,31,6,0.0,0.0,0.0
R.Harvey,1999,22.3,0.73,18,0,15,0,5,2,68,40,2,4,0.75,OAK,48,7,0.0,0.0,0.0
J.Gildon,1999,29.6,0.73,15,1,15,0,1,8,69,42,9,50,0.68,PIT,43,11,0.0,0.0,0.0
K.Brooking,1999,27.7,0.71,18,0,12,0,2,2,70,52,2,15,1.22,ATL,65,11,0.0,0.0,0.0
K.Norton,1999,33.2,0.69,26,1,16,0,7,1,71,53,1,10,1.12,SF,74,9,0.0,0.0,0.0
J.Sharper,1999,23.5,0.69,18,0,16,0,2,4,72,57,4,19,0.92,BLT,69,8,0.0,0.0,0.0
K.Williams,1999,21.4,0.69,2,0,9,1,3,1,73,21,1,9,0.55,OAK,27,5,0.0,0.0,0.0
W.Tubbs,1999,27.0,0.67,14,0,16,1,3,3,74,48,3,19,0.99,SF,74,8,0.0,0.0,0.0
C.Widmer,1999,25.0,0.65,21,0,13,0,1,3,76,42,3,11,0.74,NYG,41,8,0.0,0.0,0.0
L.Fletcher,1999,33.4,0.59,22,0,16,0,2,3,77,54,3,22,1.01,SL,66,12,0.0,0.0,0.0
B.Gardner,1999,21.2,0.59,10,2,11,0,3,0,78,18,0,0,0.5,PHI,26,1,0.0,0.0,0.0
J.Darling,1999,22.7,0.59,17,0,14,1,3,0,79,32,0,0,0.65,PHI,42,2,0.0,0.0,0.0
Z.Walz,1999,18.4,0.58,19,0,9,0,2,1,80,33,1,12,0.69,ARZ,27,2,0.0,0.0,0.0
J.Tuggle,1999,25.4,0.57,19,1,13,0,2,3,81,50,4,21,1.15,ATL,66,5,0.0,0.0,0.0
J.Farrior,1999,17.4,0.57,7,1,15,0,2,1,82,26,2,17,0.4,NYJ,32,5,0.0,0.0,0.0
D.Rodgers,1999,20.5,0.56,15,0,15,1,3,0,83,24,0,0,0.43,MIA,21,4,0.0,0.0,0.0
K.Wong,1999,18.4,0.53,14,1,13,0,2,0,84,28,0,0,0.56,MIN,33,3,0.0,0.0,0.0
R.Abdullah,1999,20.2,0.52,12,0,16,1,4,0,85,39,0,0,0.59,CLV,54,3,0.0,0.0,0.0
D.Gordon,1999,11.2,0.48,16,0,16,0,1,1,86,34,1,6,0.6,NYJ,46,2,0.0,0.0,0.0
M.Maddox,1999,8.9,0.48,10,0,14,0,0,0,87,18,0,0,0.3,ARZ,21,2,0.0,0.0,0.0
D.Hambrick,1999,22.7,0.48,11,0,16,2,2,3,88,33,3,21,0.62,DAL,44,4,0.0,0.0,0.0
D.Nguyen,1999,14.6,0.47,5,0,15,1,1,1,89,21,1,13,0.37,DAL,26,5,0.0,0.0,0.0
R.Jones,1999,22.1,0.46,20,0,16,0,0,0,90,54,0,0,0.87,MIA,58,4,0.0,0.0,0.0
S.Foley,1999,18.9,0.46,3,1,14,0,2,3,91,27,4,28,0.45,CIN,34,6,0.0,0.0,0.0
J.Waddy,1999,16.8,0.45,19,2,12,0,1,1,92,34,1,3,0.92,GB,53,3,0.0,0.0,0.0
G.Koonce,1999,20.6,0.45,19,0,15,0,0,0,93,27,0,0,0.5,GB,30,6,0.0,0.0,0.0
G.Dixon,1999,20.8,0.45,8,1,14,0,3,3,94,18,4,31,0.4,SD,25,4,0.0,0.0,0.0
T.Johnson,1999,16.8,0.43,13,1,5,0,0,1,95,22,2,14,1.06,NE,24,1,0.0,0.0,0.0
L.Bush,1999,17.0,0.41,4,0,16,0,2,1,96,33,1,3,0.48,SD,41,10,0.0,0.0,0.0
W.Holdman,1999,19.2,0.39,13,2,16,0,0,1,97,26,2,26,0.6,CHI,47,4,0.0,0.0,0.0
E.Hill,1999,10.8,0.35,13,1,10,0,0,0,98,25,0,0,0.65,SD,25,2,0.0,0.0,0.0
B.Paup,1999,9.5,0.31,6,0,12,0,3,1,99,19,1,13,0.47,JAX,24,4,0.0,0.0,0.0
D.Brooks,2000,69.9,2.77,23,6,16,1,6,0,0,77,1,2,1.47,TB,123,0,1.0,1.0,0.0
S.Cowart,2000,54.1,2.67,41,1,12,2,6,0,1,87,6,39,1.65,BUF,88,0,1.0,0.0,1.0
K.Mitchell,2000,60.1,2.15,25,0,16,1,5,0,2,55,7,40,0.85,NO,60,0,1.0,0.0,0.0
B.Urlacher,2000,64.0,2.12,26,0,16,2,5,0,3,76,9,55,1.22,CHI,98,0,1.0,0.0,0.0
S.Boyd,2000,59.6,2.05,63,1,15,1,8,0,4,78,1,0,1.46,DET,76,0,1.0,0.0,1.0
J.Seau,2000,54.0,2.04,19,1,16,2,11,0,5,89,3,10,1.26,SD,103,0,1.0,1.0,0.0
A.Simmons,2000,57.6,1.85,28,2,16,2,2,0,6,78,4,21,1.39,SEA,119,0,0.0,0.0,0.0
L.Fletcher,2000,60.8,1.8,27,1,16,4,8,0,7,82,6,27,1.46,SL,106,0,0.0,0.0,0.0
R.Godfrey,2000,74.8,1.78,23,5,16,2,8,0,8,81,4,22,1.45,TEN,98,0,0.0,0.0,0.0
J.Gildon,2000,65.3,1.64,19,4,16,0,5,0,9,60,14,85,0.77,PIT,58,0,1.0,0.0,0.0
J.Porter,2000,47.9,1.58,18,2,15,1,3,0,10,45,11,61,0.62,PIT,40,0,0.0,0.0,0.0
R.Lewis,2000,59.0,1.57,30,0,16,2,6,0,11,88,4,33,1.67,BLT,107,0,1.0,1.0,0.0
S.Rogers,2000,43.6,1.56,12,3,10,1,2,0,12,34,5,52,0.61,BUF,28,0,0.0,0.0,0.0
W.Thomas,2000,51.8,1.54,9,2,16,6,11,0,13,50,1,10,0.77,OAK,69,0,0.0,0.0,0.0
Z.Thomas,2000,36.7,1.52,43,0,11,1,1,0,14,58,2,4,1.5,MIA,56,0,1.0,0.0,0.0
M.Peterson,2000,50.5,1.52,55,1,16,2,6,0,15,72,0,0,1.45,IND,103,0,0.0,0.0,0.0
T.Spikes,2000,54.4,1.51,19,0,16,2,4,0,16,83,2,16,1.26,CIN,109,0,0.0,0.0,0.0
K.Newman,2000,49.0,1.48,18,2,16,0,2,0,17,48,8,52,0.59,BUF,44,0,0.0,0.0,0.0
J.Sharper,2000,43.2,1.47,13,5,16,1,4,0,18,47,0,0,0.88,BLT,59,0,0.0,0.0,0.0
J.Mobley,2000,40.0,1.46,16,2,15,1,11,0,19,55,2,16,1.13,DEN,69,0,0.0,0.0,0.0
G.Biekert,2000,44.3,1.45,34,0,16,0,4,0,20,84,2,7,1.32,OAK,100,0,0.0,0.0,0.0
J.Armstead,2000,53.4,1.45,25,1,16,1,8,0,21,74,5,32,1.09,NYG,76,0,1.0,0.0,1.0
C.Claiborne,2000,40.1,1.43,39,3,16,1,4,0,22,64,1,3,1.02,DET,65,0,0.0,0.0,0.0
G.Dixon,2000,42.9,1.41,9,0,16,1,6,0,23,44,5,35,0.64,SD,53,0,0.0,0.0,0.0
A.Aldridge,2000,33.6,1.4,18,2,16,1,2,0,24,42,3,22,0.59,DET,42,0,0.0,0.0,0.0
E.Holmes,2000,52.6,1.36,41,1,16,0,9,0,25,87,0,0,1.27,PIT,86,0,0.0,0.0,0.0
M.Lewis,2000,49.9,1.35,23,2,16,1,6,0,26,60,10,61,0.81,NYJ,65,0,1.0,0.0,1.0
D.Edwards,2000,43.8,1.33,18,0,16,2,4,0,27,71,1,9,1.31,KC,114,0,0.0,0.0,0.0
J.Trotter,2000,41.9,1.31,21,0,16,1,4,0,28,74,2,1,1.21,PHI,98,0,1.0,1.0,0.0
J.Duncan,2000,32.3,1.29,17,0,14,4,6,0,29,41,0,0,0.75,TB,48,0,0.0,0.0,0.0
M.Patton,2000,42.0,1.28,23,1,16,2,6,0,30,47,1,9,1.11,KC,88,0,0.0,0.0,0.0
L.Woodall,2000,35.1,1.25,26,2,16,1,6,0,31,49,0,0,0.99,CAR,71,0,0.0,0.0,0.0
T.Johnson,2000,38.9,1.23,22,0,13,0,2,0,32,50,1,5,0.78,NE,51,0,0.0,0.0,0.0
M.Caldwell,2000,26.2,1.21,5,1,16,1,10,0,33,31,0,0,0.48,PHI,42,0,0.0,0.0,0.0
C.Emmons,2000,43.3,1.19,22,1,16,2,6,0,34,45,0,0,0.78,PHI,55,0,0.0,0.0,0.0
D.Smith,2000,35.6,1.17,24,0,15,2,9,0,35,50,2,13,0.89,NO,59,0,0.0,0.0,0.0
D.Smith,2000,38.2,1.09,17,1,15,0,3,0,42,50,1,5,1.12,WAS,71,0,0.0,0.0,0.0
B.Wortham,2000,33.7,1.17,10,2,16,2,2,0,36,33,0,0,0.66,DAL,55,0,0.0,0.0,0.0
M.Jones,2000,37.8,1.16,33,2,16,0,2,0,37,77,1,8,1.24,NYJ,102,0,0.0,0.0,0.0
M.Jones,2000,26.1,0.6,10,1,16,0,5,0,77,46,2,9,0.75,SL,58,0,0.0,0.0,0.0
J.Holecek,2000,34.4,1.13,41,0,16,1,3,0,38,68,0,0,1.05,BUF,69,0,0.0,0.0,0.0
L.Kirkland,2000,35.6,1.11,21,0,16,1,4,0,39,64,0,0,0.86,PIT,65,0,0.0,0.0,0.0
R.McKinnon,2000,51.0,1.11,38,2,16,0,2,0,40,76,4,25,1.34,ARZ,119,0,0.0,0.0,0.0
N.Wayne,2000,34.8,1.09,26,1,14,0,7,0,41,59,2,18,1.21,GB,75,0,0.0,0.0,0.0
C.Brown,2000,40.5,1.08,23,2,16,1,3,0,43,51,7,21,0.89,SEA,71,0,0.0,0.0,0.0
E.McDaniel,2000,34.0,1.07,21,1,16,0,2,0,44,58,3,21,1.22,MIN,98,0,0.0,0.0,0.0
E.Robinson,2000,33.7,1.06,10,0,16,0,3,0,45,49,4,20,0.71,TEN,49,0,0.0,0.0,0.0
B.Cox,2000,43.0,1.06,27,3,15,0,5,0,46,60,7,29,0.8,NYJ,54,0,0.0,0.0,0.0
S.Barber,2000,30.2,1.04,7,0,13,0,2,0,47,47,2,19,0.93,WAS,56,0,0.0,0.0,0.0
G.Koonce,2000,37.5,1.02,23,0,16,1,5,0,48,65,2,12,0.91,SEA,74,0,0.0,0.0,0.0
B.Harris,2000,37.1,1.02,21,1,16,0,5,0,49,65,2,17,1.01,GB,76,0,0.0,0.0,0.0
D.Coakley,2000,29.1,1.0,12,0,16,0,3,0,50,45,0,0,0.89,DAL,75,0,0.0,0.0,0.0
R.Fredrickson,2000,39.8,0.99,38,0,13,1,4,0,51,64,1,3,1.04,ARZ,61,0,0.0,0.0,0.0
M.Barrow,2000,41.4,0.99,22,1,14,1,3,0,52,62,5,24,1.16,NYG,72,0,0.0,0.0,0.0
T.Bruschi,2000,31.4,0.96,37,0,16,0,5,0,53,70,1,1,0.91,NE,68,0,0.0,0.0,0.0
A.Wilson,2000,38.3,0.96,13,0,15,3,8,0,54,38,6,31,0.8,DEN,47,0,0.0,0.0,0.0
B.Romanowski,2000,36.7,0.95,10,4,16,2,6,0,55,36,4,17,0.9,DEN,62,0,0.0,0.0,0.0
W.Tubbs,2000,30.5,0.85,26,0,13,1,5,0,56,50,2,9,1.04,SF,56,0,0.0,0.0,0.0
S.Quarles,2000,27.5,0.84,15,0,14,1,5,0,57,28,2,4,0.58,TB,35,0,0.0,0.0,0.0
T.Slaughter,2000,25.0,0.84,16,1,15,0,3,0,58,41,0,0,0.69,JAX,38,0,0.0,0.0,0.0
K.Wong,2000,38.1,0.84,28,0,16,2,4,0,59,60,2,16,1.14,MIN,83,0,0.0,0.0,0.0
J.Miller,2000,38.2,0.81,20,0,15,1,7,0,60,52,6,49,0.84,CLV,61,0,0.0,0.0,0.0
K.Hardy,2000,36.2,0.8,15,2,16,1,6,0,61,62,3,20,1.03,JAX,71,0,0.0,0.0,0.0
A.Spearman,2000,21.9,0.79,24,0,13,0,4,0,62,38,2,15,0.85,CIN,46,0,0.0,0.0,0.0
R.Phillips,2000,29.2,0.79,15,1,16,2,3,0,63,32,2,13,0.56,NYG,37,0,0.0,0.0,0.0
C.Draft,2000,15.8,0.78,15,0,12,0,0,0,64,27,1,4,0.79,ATL,41,0,0.0,0.0,0.0
D.Hambrick,2000,18.3,0.77,16,0,16,0,2,0,65,46,1,4,0.79,DAL,61,0,0.0,0.0,0.0
M.Simoneau,2000,16.8,0.77,11,0,12,0,3,0,66,26,2,4,0.66,ATL,36,0,0.0,0.0,0.0
S.Foley,2000,31.2,0.74,9,2,16,1,8,0,67,34,4,16,0.42,CIN,34,0,0.0,0.0,0.0
R.Colvin,2000,23.5,0.72,9,4,12,0,3,0,68,26,3,33,0.45,CHI,25,0,0.0,0.0,0.0
J.Farrior,2000,27.2,0.71,10,1,15,1,5,0,69,30,1,6,0.55,NYJ,46,0,0.0,0.0,0.0
D.Wells,2000,22.8,0.7,11,0,15,1,2,0,70,35,0,0,0.74,CAR,57,0,0.0,0.0,0.0
W.Rainer,2000,43.7,0.65,33,2,16,1,4,0,71,65,2,14,1.15,CLV,86,0,0.0,0.0,0.0
M.Maslowski,2000,22.2,0.64,12,1,13,0,2,0,72,25,1,4,0.5,KC,29,0,0.0,0.0,0.0
E.Alexander,2000,19.1,0.64,17,0,15,0,4,0,73,33,1,8,0.69,OAK,49,0,0.0,0.0,0.0
C.Slade,2000,29.3,0.63,26,2,16,0,0,0,74,47,5,18,0.68,NE,53,0,0.0,0.0,0.0
L.Towns,2000,23.8,0.63,14,1,16,0,1,0,75,42,0,0,0.95,CAR,79,0,0.0,0.0,0.0
J.Foreman,2000,13.7,0.61,18,0,11,0,0,0,76,22,0,0,0.7,BUF,32,0,0.0,0.0,0.0
O.Ruff,2000,29.2,0.6,14,0,16,1,5,0,78,44,0,0,0.7,SD,54,0,0.0,0.0,0.0
N.Diggs,2000,19.9,0.59,9,0,13,0,2,0,79,27,0,0,0.42,GB,24,0,0.0,0.0,0.0
K.Norton,2000,18.7,0.59,26,0,16,0,2,0,80,44,0,0,0.75,SF,47,0,0.0,0.0,0.0
L.Arrington,2000,19.7,0.58,9,0,15,0,4,0,81,35,4,7,0.66,WAS,43,0,0.0,0.0,0.0
M.Fields,2000,15.6,0.57,21,0,13,0,1,0,82,46,3,14,1.03,NO,63,0,1.0,0.0,0.0
R.Phifer,2000,16.5,0.56,13,1,16,0,1,0,83,25,4,33,0.41,NYJ,32,0,0.0,0.0,0.0
H.Crockett,2000,24.6,0.56,7,1,14,0,2,0,84,28,3,15,0.49,ATL,34,0,0.0,0.0,0.0
T.Collins,2000,14.2,0.55,2,1,10,0,0,0,85,15,1,2,0.42,SL,22,0,0.0,0.0,0.0
D.Rudd,2000,13.6,0.54,17,0,14,0,2,0,86,27,1,11,0.81,MIN,52,0,0.0,0.0,0.0
D.Rodgers,2000,19.4,0.53,22,1,15,0,3,0,87,42,0,0,0.82,MIA,52,0,0.0,0.0,0.0
P.Boulware,2000,21.7,0.53,7,2,15,0,1,0,88,27,7,21,0.52,BLT,33,0,0.0,0.0,0.0
S.Harris,2000,22.2,0.52,12,1,15,0,1,0,89,42,2,12,0.81,CHI,65,0,0.0,0.0,0.0
G.Favors,2000,23.4,0.51,8,1,14,0,1,0,90,24,6,53,0.51,TEN,29,0,0.0,0.0,0.0
W.Holdman,2000,18.9,0.5,16,0,10,0,3,0,91,29,0,0,1.15,CHI,57,0,0.0,0.0,0.0
R.Jones,2000,26.3,0.47,18,0,16,0,0,0,92,35,0,0,0.52,MIA,32,0,0.0,0.0,0.0
B.Gardner,2000,13.4,0.45,15,0,14,0,1,0,93,28,1,4,0.66,PHI,42,0,0.0,0.0,0.0
C.Bennett,2000,18.6,0.45,14,0,15,0,4,0,94,29,5,21,0.5,IND,37,0,0.0,0.0,0.0
A.Ross,2000,13.9,0.43,2,0,13,0,3,0,95,24,1,6,0.4,CIN,31,0,0.0,0.0,0.0
J.Peterson,2000,24.3,0.42,17,0,12,2,10,0,96,34,4,33,0.63,SF,29,0,0.0,0.0,0.0
H.Nickerson,2000,14.7,0.41,4,0,6,1,7,0,97,20,1,0,0.99,JAX,27,0,0.0,0.0,0.0
K.Brooking,2000,13.0,0.41,8,1,5,0,2,0,98,22,1,8,1.21,ATL,28,0,0.0,0.0,0.0
J.Posey,2000,16.8,0.4,11,0,15,0,2,0,99,16,1,5,0.36,SF,22,0,0.0,0.0,0.0
M.Barrow,2001,71.9,2.64,44,4,16,0,6,0,0,91,7,35,1.35,NYG,91,0,0.0,0.0,0.0
R.Lewis,2001,85.5,2.51,48,1,16,3,10,0,1,114,4,26,1.61,BLT,114,0,1.0,1.0,0.0
C.Brown,2001,57.9,2.29,26,2,16,0,6,0,2,75,9,70,1.02,SEA,80,0,0.0,0.0,0.0
Z.Thomas,2001,73.1,2.2,60,2,15,2,4,0,3,103,4,27,1.66,MIA,95,0,1.0,0.0,1.0
T.Spikes,2001,54.9,2.11,29,1,15,1,5,0,4,78,6,58,1.18,CIN,80,0,0.0,0.0,0.0
J.Armstead,2001,39.5,2.08,24,2,16,0,2,0,5,56,2,11,0.88,NYG,64,0,1.0,0.0,0.0
M.Jones,2001,53.6,2.03,37,2,16,3,5,0,6,74,1,7,1.12,NYJ,90,0,0.0,0.0,0.0
D.Brooks,2001,54.5,1.82,33,1,15,3,11,0,7,71,0,0,1.28,TB,80,0,1.0,0.0,1.0
J.Trotter,2001,50.0,1.8,22,2,15,2,10,0,8,72,4,29,1.27,PHI,93,0,1.0,0.0,1.0
R.McKinnon,2001,56.2,1.79,48,1,16,1,5,0,9,84,2,5,1.32,ARZ,98,0,0.0,0.0,0.0
J.Miller,2001,60.4,1.69,16,4,15,1,12,0,10,76,12,69,0.89,CLV,74,0,1.0,1.0,0.0
L.Arrington,2001,64.7,1.68,14,0,13,3,9,0,11,66,1,2,1.32,WAS,75,0,1.0,0.0,1.0
A.Simmons,2001,44.9,1.61,20,2,16,0,7,0,12,77,2,16,1.18,SEA,103,0,0.0,0.0,0.0
M.Lewis,2001,52.7,1.61,31,2,16,1,2,0,13,60,3,20,0.96,NYJ,77,0,0.0,0.0,0.0
B.Harris,2001,55.7,1.56,29,1,16,2,4,0,14,70,3,14,0.93,GB,69,0,0.0,0.0,0.0
D.Edwards,2001,43.9,1.54,32,1,16,0,4,0,15,71,2,16,1.35,KC,98,0,0.0,0.0,0.0
E.Holmes,2001,44.6,1.51,32,2,15,0,2,0,16,70,2,17,1.41,PIT,79,0,0.0,0.0,0.0
B.Urlacher,2001,62.4,1.51,27,2,16,3,8,0,17,73,6,37,1.24,CHI,90,0,1.0,1.0,0.0
J.Sharper,2001,53.2,1.49,31,0,16,0,12,0,18,72,7,32,1.07,BLT,77,0,0.0,0.0,0.0
N.Wayne,2001,50.5,1.49,26,2,12,3,7,0,19,65,6,40,1.09,GB,60,0,0.0,0.0,0.0
B.Simmons,2001,45.9,1.48,32,2,16,1,5,0,20,61,7,41,0.84,CIN,51,0,0.0,0.0,0.0
W.Thomas,2001,40.7,1.47,23,0,15,3,5,0,21,46,3,13,0.91,OAK,59,0,0.0,0.0,0.0
J.Farrior,2001,48.6,1.46,36,3,16,2,9,0,22,68,1,8,1.26,NYJ,107,0,0.0,0.0,0.0
J.Mobley,2001,58.3,1.44,13,1,16,1,6,0,23,67,1,6,1.12,DEN,76,0,0.0,0.0,0.0
K.Brooking,2001,47.0,1.41,23,2,15,2,9,0,24,69,3,25,1.41,ATL,91,0,1.0,0.0,0.0
